ecotype id	nativename	170_Anthocyanin 10	171_Anthocyanin 16	172_Anthocyanin 22	77_LES	78_YEL 	79_LY 	167_Chlorosis 10	168_Chlorosis 16	169_Chlorosis 22	176_Leaf roll 10	177_Leaf roll 16	178_Leaf roll 22	8_Seed Dormancy	277_Secondary Dormancy	281_Storage 7 days	282_Storage 28 days	283_Storage 56 days	179_Rosette Erect 22	1_LD	2_LDV	3_SD	4_SDV	5_FT10	6_FT16	7_FT22	43_FLC	44_FRI	33_<i>avrRpm1</i>	34_<i>avrRpt2</i>	35_<i>avrB</i>	161_Germ 10	162_Germ 16	163_Germ 22	278_Germ in dark	279_DSDS50	273_Vern Growth	274_After Vern Growth	60_FT Duration GH	61_LC Duration GH	62_LFS GH	63_MT GH	64_RP GH	158_Silique 16	159_Silique 22	
6927	Kno-10	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	33.0	0.0297619	0.0	30.5	93.0161	1.0	57.4417	30.5	200.0	72.8333	51.0	61.0	72.0	0.382	1.8628	0.0	1.0	0.0	5.0	3.0	2.0	96.0	35.6898	0.00367285	0.104024	32.6717	105.131	99.1584	6.70116	39.0218	1.5	1.2	
6928	Kno-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	15.0	0.435677	0.0	43.0	72.3729	1.0	38.5208	30.1667	117.292	71.0	55.0	57.0	51.0	0.068	1.0219	0.0	0.0	0.0	7.0	3.0	3.0	60.1919	38.9181	0.00213397	0.0912306	26.2835	81.4212	65.0698	16.7439	42.6649	1.4	1.2	
6929	Kondara	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	60.0	1.3185	0.0	6.75	46.4018	1.0	45.0417	27.6	86.5069	42.8333	71.0	56.0	44.0	1.02	0.825	0.0	0.0	0.0	7.0	3.0	2.0	26.3979	57.4922	0.00100927	0.0449287	32.8167	92.7655	70.978	20.967	54.2687	1.3	1.1	
6930	Kz-1	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	106.0	NA	0.0	0.0	0.0	1.0	35.6806	19.8333	85.4167	33.0	49.0	54.0	40.0	0.463	0.669	1.0	1.0	NA	5.0	3.0	2.0	NA	237.774	0.00490837	0.172235	25.408	76.4327	60.185	16.9525	42.5307	1.6	1.2	
6931	Kz-9	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	132.0	NA	0.0	0.25	0.0	1.0	31.0	22.0	83.1806	42.1667	46.0	37.0	30.0	0.106	0.512	1.0	1.0	1.0	5.0	3.0	2.0	NA	201.682	0.0003968	0.0372286	22.8269	74.2731	57.3211	16.6227	39.6502	1.4	1.0	
6932	Ler-1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	10.0	0.224372	65.93	100.0	100.0	0.0	26.8333	24.3333	75.5069	61.2	51.0	36.0	27.0	0.111	0.3406	1.0	1.0	1.0	5.0	3.0	2.0	10.5152	9.15082	0.00296332	0.0884977	20.0586	62.7358	45.2915	17.4254	37.3787	1.1	0.7	
6933	LL-0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	129.0	-0.178571	-2.76e-15	7.52e-15	7.56835	1.0	46.0347	22.0	76.0	37.6667	56.0	52.0	55.0	2.597	1.3012	NA	NA	NA	7.0	3.0	2.0	61.6826	99.6033	0.00260453	0.04144	21.0244	78.8485	64.3985	13.7587	35.1251	1.7	1.1	
6936	Lz-0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	56.0	0.804679	1.69e-17	8.24e-17	21.5474	1.0	48.0417	24.5	91.5208	40.5	67.0	54.0	42.0	1.378	0.3965	NA	1.0	0.0	5.0	3.0	2.0	-6.89e-16	66.5533	0.00229307	0.0863639	21.4268	69.4474	55.7537	13.613	35.2272	1.5	1.0	
6937	Mrk-0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	17.0	0.74033	0.25	31.5	95.0	1.0	37.3472	30.6667	83.5208	51.6667	65.0	50.0	40.0	0.081	0.3277	0.0	1.0	0.0	7.0	3.0	2.0	46.741	34.5888	0.00376411	0.119093	27.7835	78.7114	67.3863	11.5362	39.174	2.0	1.5	
6939	Mt-0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	7.0	0.927217	24.075	49.5	73.949	1.0	26.6667	22.5	86.2167	68.0	49.0	32.0	25.0	0.185	1.1142	0.0	1.0	0.0	7.0	3.0	2.0	5.8e-15	34.9569	0.00202762	0.0548255	18.4535	59.1834	41.2441	18.0362	36.0272	1.5	0.8	
6940	Mz-0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	30.0	0.233298	0.0	17.75	64.7064	0.0	26.8333	24.6667	94.1944	70.0	49.0	32.0	28.0	0.096	1.2245	0.0	1.0	0.0	7.0	4.0	2.0	54.6162	49.0854	0.00837184	0.110865	16.0894	62.3651	40.03	22.0091	38.0073	1.5	1.0	
6942	Nd-1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	NA	NA	23.0175	44.9286	53.2292	0.0	25.0	20.8333	65.0	60.1667	46.0	29.0	29.0	0.144	1.0632	0.0	1.0	0.0	5.0	3.0	2.0	NA	89.5046	0.00276316	0.0526419	21.586	64.0821	46.7273	17.9245	39.3026	1.2	0.9	
6943	NFA-10	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	5.0	-0.0992064	10.7025	8.5	26.0385	1.0	31.6667	23.5	NA	51.3333	49.0	37.0	32.0	0.162	0.8388	1.0	1.0	1.0	7.0	3.0	3.0	66.0792	72.0971	0.00506638	0.112877	18.7025	60.3371	43.0789	17.0501	35.8733	1.5	1.1	
6944	NFA-8	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	38.0	0.282494	1.95	2.0	8.98741	1.0	28.0	21.3333	79.6083	46.3333	49.0	37.0	32.0	0.203	1.1036	0.0	1.0	0.0	5.0	3.0	3.0	40.8707	132.644	0.00440226	0.1469	25.277	64.7063	50.1927	17.0717	38.997	1.4	1.0	
6945	Nok-3	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	36.0	1.37259	0.0	0.75	51.8419	1.0	40.2014	33.0	104.292	64.3333	55.0	53.0	59.0	0.858	1.258	1.0	1.0	1.0	7.0	3.0	2.0	28.6276	59.7406	0.00333583	0.0672424	38.4033	89.4564	78.6845	11.4254	49.5743	1.4	1.0	
